                     Mode	            TimeStamp [s]	              All #pulses	                  #Pulses	                      #BD	         PS  Vin Marx [V]	        Pulse length [us]	               Delay [ns]	            Cur Level [A]	           Frequency [Hz]	      Temp. Charge switch	       Temp. Pulse switch	                FUG M [V]	                      BDR	       Output voltage [V]	                FUG P [V]	           Stop condition	                 Gap [um]	      MaxPulses per Cycle	              Safe pulses	    Gain Voltage at 0 [V]	   Gain after Timeout [V]	    Conditioning Goal [V]	                  Max BDR	               Cur M [mA]	         Pulses before BD	               PulsesMarx	                        S	             Target V [V]	                 Polarity	                Generator	          Temperature [K]	           CG Step Up [V]	         CG Step Down [V]	          Min Cycles @ GC	    Min Cycles Since Decr	          Max BDR to Incr	          Min BDR to Decr	          Pulse Window GC	              Cycles @ CG	        Cycles Since Decr	                   BDR GC	        Conditioning Mode
                        2	          3769601564.6404	                        1	                        1	                        1	                      507	                     1.00	                      600	                       30	                   710.00	                    22.50	                    28.30	                 508.9560	                 1.068E-6	                7100.1286	                 508.9469	                        0	                       66	                   100000	                    20000	                      -14	                       14	                     7100	                 1.000E-5	                     3.29	                        1	                        1	                        0	                     7100	                        1	                        1	                    287.0	                      100	                      200	                      100	                       20	                 1.000E-6	                 2.000E-5	                 10000000	                        0	                        0	                 4.789E-7	                        2
                        0	          3769601577.1380	                      101	                      100	                        1	                      107	                     1.00	                      600	                       10	                   720.00	                    22.20	                    28.40	                 108.0160	                 1.068E-6	                1419.9503	                 108.0195	                        0	                       66	                   100000	                    20000	                      -14	                       14	                     7100	                 1.000E-5	                     8.16	                        0	                      100	                        1	                     7086	                        1	                        1	                    287.0	                      100	                      200	                      100	                       20	                 1.000E-6	                 2.000E-5	                 10000000	                        0	                        1	                 4.789E-7	                        2
                        0	          3769601579.5784	                      201	                      200	                        1	                      207	                     1.00	                      600	                       17	                   720.00	                    22.20	                    28.40	                 208.0260	                 1.068E-6	                2836.8073	                 208.0043	                        0	                       66	                   100000	                    20000	                      -14	                       14	                     7100	                 1.000E-5	                    16.32	                        0	                      100	                        2	                     7086	                        1	                        1	                    287.0	                      100	                      200	                      100	                       20	                 1.000E-6	                 2.000E-5	                 10000000	                        0	                        1	                 4.789E-7	                        2
                        0	          3769601582.0184	                      301	                      300	                        1	                      282	                     1.00	                      600	                       21	                   720.00	                    22.20	                    28.40	                 283.0140	                 1.068E-6	                3899.1737	                 282.9929	                        0	                       66	                   100000	                    20000	                      -14	                       14	                     7100	                 1.000E-5	                    22.49	                        0	                      100	                        3	                     7086	                        1	                        1	                    287.0	                      100	                      200	                      100	                       20	                 1.000E-6	                 2.000E-5	                 10000000	                        0	                        1	                 4.789E-7	                        2
                        2	          3769601584.4610	                      372	                      371	                        2	                      339	                     1.00	                      600	                       24	                   720.00	                    22.20	                    28.40	                 339.2600	                 2.068E-6	                4696.0194	                 339.2344	                        0	                       66	                   100000	                    20000	                      -14	                       14	                     7100	                 1.000E-5	                    27.14	                      371	                       71	                        0	                     7086	                        1	                        1	                    287.0	                      100	                      200	                      100	                       20	                 1.000E-6	                 2.000E-5	                 10000000	                        0	                        1	                 5.789E-7	                        2
                        0	          3769601596.9494	                      472	                      100	                        2	                      107	                     1.00	                      600	                       10	                   720.00	                    22.00	                    28.50	                 107.8410	                 2.068E-6	                1417.4710	                 107.8219	                        0	                       66	                   100000	                    20000	                      -14	                       14	                     7100	                 1.000E-5	                     8.15	                        0	                      100	                        1	                     7072	                        1	                        1	                    287.0	                      100	                      200	                      100	                       20	                 1.000E-6	                 2.000E-5	                 10000000	                        0	                        1	                 5.789E-7	                        2
                        0	          3769601599.3851	                      572	                      200	                        2	                      207	                     1.00	                      600	                       17	                   720.00	                    22.00	                    28.60	                 207.6250	                 2.068E-6	                2831.1262	                 207.6090	                        0	                       66	                   100000	                    20000	                      -14	                       14	                     7100	                 1.000E-5	                    16.29	                        0	                      100	                        2	                     7072	                        1	                        1	                    287.0	                      100	                      200	                      100	                       20	                 1.000E-6	                 2.000E-5	                 10000000	                        0	                        1	                 5.789E-7	                        2
                        0	          3769601601.8045	                      672	                      300	                        2	                      282	                     1.00	                      600	                       21	                   720.00	                    22.00	                    28.60	                 282.4760	                 2.068E-6	                3891.5518	                 282.4494	                        0	                       66	                   100000	                    20000	                      -14	                       14	                     7100	                 1.000E-5	                    22.45	                        0	                      100	                        3	                     7072	                        1	                        1	                    287.0	                      100	                      200	                      100	                       20	                 1.000E-6	                 2.000E-5	                 10000000	                        0	                        1	                 5.789E-7	                        2
                        0	          3769601604.2457	                      772	                      400	                        2	                      338	                     1.00	                      600	                       24	                   720.00	                    21.90	                    28.60	                 338.6100	                 2.068E-6	                4686.8108	                 338.5797	                        0	                       66	                   100000	                    20000	                      -14	                       14	                     7100	                 1.000E-5	                    27.09	                        0	                      100	                        4	                     7072	                        1	                        1	                    287.0	                      100	                      200	                      100	                       20	                 1.000E-6	                 2.000E-5	                 10000000	                        0	                        1	                 5.789E-7	                        2
                        0	          3769601606.6705	                      872	                      500	                        2	                      380	                     1.00	                      600	                       26	                   720.00	                    21.90	                    28.60	                 380.6910	                 2.068E-6	                5282.9787	                 380.6774	                        0	                       66	                   100000	                    20000	                      -14	                       14	                     7100	                 1.000E-5	                    30.58	                        0	                      100	                        5	                     7072	                        1	                        1	                    287.0	                      100	                      200	                      100	                       20	                 1.000E-6	                 2.000E-5	                 10000000	                        0	                        1	                 5.789E-7	                        2
