                     Mode	            TimeStamp [s]	              All #pulses	                  #Pulses	                      #BD	         PS  Vin Marx [V]	        Pulse length [us]	               Delay [ns]	            Cur Level [A]	           Frequency [Hz]	      Temp. Charge switch	       Temp. Pulse switch	                FUG M [V]	                      BDR	       Output voltage [V]	                FUG P [V]	           Stop condition	                 Gap [um]	      MaxPulses per Cycle	              Safe pulses	    Gain Voltage at 0 [V]	   Gain after Timeout [V]	    Conditioning Goal [V]	                  Max BDR	               Cur M [mA]	         Pulses before BD	               PulsesMarx	                        S	             Target V [V]	                 Polarity	                Generator	          Temperature [K]	           CG Step Up [V]	         CG Step Down [V]	          Min Cycles @ GC	    Min Cycles Since Decr	          Max BDR to Incr	          Min BDR to Decr	          Pulse Window GC	              Cycles @ CG	        Cycles Since Decr	                   BDR GC	        Conditioning Mode
                        2	          3769173002.0114	                     5796	                     5796	                        1	                      416	                     1.00	                      600	                       27	                  1000.00	                    22.30	                    28.10	                 417.2070	                 1.459E-6	                5800.3065	                 417.1854	                        0	                       66	                   100000	                    20000	                      -14	                       14	                     6100	                 1.000E-5	                    45.77	                     5796	                     5796	                        0	                     5800	                        1	                        1	                    287.0	                      100	                      200	                      100	                       20	                 1.000E-6	                 2.000E-5	                 10000000	                        0	                        0	                 2.699E-7	                        2
                        0	          3769173014.5209	                     5896	                      100	                        1	                       89	                     1.00	                      600	                        8	                  1000.00	                    21.60	                    28.80	                  89.6787	                 1.459E-6	                1160.1629	                  89.6672	                        0	                       66	                   100000	                    20000	                      -14	                       14	                     6100	                 1.000E-5	                     9.13	                        0	                      100	                        1	                     5790	                        1	                        1	                    287.0	                      100	                      200	                      100	                       20	                 1.000E-6	                 2.000E-5	                 10000000	                        0	                        1	                 2.699E-7	                        2
                        0	          3769173016.9624	                     5996	                      200	                        1	                      219	                     1.00	                      600	                       15	                  1000.00	                    21.40	                    28.80	                 171.3840	                 1.459E-6	                2317.6944	                 171.3703	                        0	                       66	                   100000	                    20000	                      -14	                       14	                     6100	                 1.000E-5	                    16.81	                        0	                      100	                        2	                     5790	                        1	                        1	                    287.0	                      100	                      200	                      100	                       20	                 1.000E-6	                 2.000E-5	                 10000000	                        0	                        1	                 2.699E-7	                        2
                        0	          3769173019.3824	                     6096	                      300	                        1	                      233	                     1.00	                      600	                       19	                  1000.00	                    21.40	                    28.80	                 232.6610	                 1.459E-6	                3185.8151	                 232.6476	                        0	                       66	                   100000	                    20000	                      -14	                       14	                     6100	                 1.000E-5	                    24.93	                        0	                      100	                        3	                     5790	                        1	                        1	                    287.0	                      100	                      200	                      100	                       20	                 1.000E-6	                 2.000E-5	                 10000000	                        0	                        1	                 2.699E-7	                        2
                        0	          3769173021.8266	                     6196	                      400	                        1	                      279	                     1.00	                      600	                       21	                  1000.00	                    21.40	                    28.80	                 278.6270	                 1.459E-6	                3837.0224	                 278.6056	                        0	                       66	                   100000	                    20000	                      -14	                       14	                     6100	                 1.000E-5	                    24.83	                        0	                      100	                        4	                     5790	                        1	                        1	                    287.0	                      100	                      200	                      100	                       20	                 1.000E-6	                 2.000E-5	                 10000000	                        0	                        1	                 2.699E-7	                        2
                        0	          3769173024.2512	                     6296	                      500	                        1	                      312	                     1.00	                      600	                       23	                  1000.00	                    21.30	                    28.90	                 313.1070	                 1.459E-6	                4325.5059	                 313.0741	                        0	                       66	                   100000	                    20000	                      -14	                       14	                     6100	                 1.000E-5	                    33.75	                        0	                      100	                        5	                     5790	                        1	                        1	                    287.0	                      100	                      200	                      100	                       20	                 1.000E-6	                 2.000E-5	                 10000000	                        0	                        1	                 2.699E-7	                        2
                        0	          3769173026.6955	                     6396	                      600	                        1	                      339	                     1.00	                      600	                       24	                  1000.00	                    21.30	                    28.90	                 338.9610	                 1.459E-6	                4691.7834	                 338.9254	                        0	                       66	                   100000	                    20000	                      -14	                       14	                     6100	                 1.000E-5	                    36.95	                        0	                      100	                        6	                     5790	                        1	                        1	                    287.0	                      100	                      200	                      100	                       20	                 1.000E-6	                 2.000E-5	                 10000000	                        0	                        1	                 2.699E-7	                        2
                        0	          3769173029.1128	                     6496	                      700	                        1	                      358	                     1.00	                      600	                       25	                  1000.00	                    21.10	                    29.00	                 358.3500	                 1.459E-6	                4966.4704	                 358.3139	                        0	                       66	                   100000	                    20000	                      -14	                       14	                     6100	                 1.000E-5	                    39.13	                        0	                      100	                        7	                     5790	                        1	                        1	                    287.0	                      100	                      200	                      100	                       20	                 1.000E-6	                 2.000E-5	                 10000000	                        0	                        1	                 2.699E-7	                        2
                        0	          3769173031.5475	                     6596	                      800	                        1	                      371	                     1.00	                      600	                       25	                  1000.00	                    21.10	                    29.00	                 372.8890	                 1.459E-6	                5172.4466	                 372.8553	                        0	                       66	                   100000	                    20000	                      -14	                       14	                     6100	                 1.000E-5	                    40.77	                        0	                      100	                        8	                     5790	                        1	                        1	                    287.0	                      100	                      200	                      100	                       20	                 1.000E-6	                 2.000E-5	                 10000000	                        0	                        1	                 2.699E-7	                        2
                        0	          3769173033.9636	                     6696	                      900	                        1	                      383	                     1.00	                      600	                       26	                  1000.00	                    21.10	                    29.00	                 383.7890	                 1.459E-6	                5326.8686	                 383.7614	                        0	                       66	                   100000	                    20000	                      -14	                       14	                     6100	                 1.000E-5	                    42.00	                        0	                      100	                        9	                     5790	                        1	                        1	                    287.0	                      100	                      200	                      100	                       20	                 1.000E-6	                 2.000E-5	                 10000000	                        0	                        1	                 2.699E-7	                        2
                        0	          3769173036.4020	                     6796	                     1000	                        1	                      392	                     1.00	                      600	                       26	                  1000.00	                    21.10	                    29.00	                 391.9640	                 1.459E-6	                5442.6850	                 391.9409	                        0	                       66	                   100000	                    20000	                      -14	                       14	                     6100	                 1.000E-5	                    42.92	                        0	                      100	                       10	                     5790	                        1	                        1	                    287.0	                      100	                      200	                      100	                       20	                 1.000E-6	                 2.000E-5	                 10000000	                        0	                        1	                 2.699E-7	                        2
                        0	          3769173038.8461	                     6896	                     1100	                        1	                      396	                     1.00	                      600	                       26	                  1000.00	                    21.00	                    29.10	                 398.1060	                 1.459E-6	                5529.6997	                 398.0756	                        0	                       66	                   100000	                    20000	                      -14	                       14	                     6100	                 1.000E-5	                    43.61	                        0	                      100	                       11	                     5790	                        1	                        1	                    287.0	                      100	                      200	                      100	                       20	                 1.000E-6	                 2.000E-5	                 10000000	                        0	                        1	                 2.699E-7	                        2
                        0	          3769173041.2650	                     6996	                     1200	                        1	                      402	                     1.00	                      600	                       26	                  1000.00	                    21.00	                    29.10	                 402.6960	                 1.459E-6	                5594.7269	                 402.6765	                        0	                       66	                   100000	                    20000	                      -14	                       14	                     6100	                 1.000E-5	                    43.92	                        0	                      100	                       12	                     5790	                        1	                        1	                    287.0	                      100	                      200	                      100	                       20	                 1.000E-6	                 2.000E-5	                 10000000	                        0	                        1	                 2.699E-7	                        2
                        0	          3769173043.7081	                     7096	                     1300	                        1	                      405	                     1.00	                      600	                       26	                  1000.00	                    20.80	                    29.10	                 406.1520	                 1.459E-6	                5643.6886	                 406.1273	                        0	                       66	                   100000	                    20000	                      -14	                       14	                     6100	                 1.000E-5	                    22.01	                        0	                      100	                       13	                     5790	                        1	                        1	                    287.0	                      100	                      200	                      100	                       20	                 1.000E-6	                 2.000E-5	                 10000000	                        0	                        1	                 2.699E-7	                        2
                        0	          3769173046.1487	                     7196	                     1400	                        1	                      407	                     1.00	                      600	                       27	                  1000.00	                    20.80	                    29.10	                 408.7410	                 1.459E-6	                5680.3674	                 408.7153	                        0	                       66	                   100000	                    20000	                      -14	                       14	                     6100	                 1.000E-5	                    44.81	                        0	                      100	                       14	                     5790	                        1	                        1	                    287.0	                      100	                      200	                      100	                       20	                 1.000E-6	                 2.000E-5	                 10000000	                        0	                        1	                 2.699E-7	                        2
