                     Mode	            TimeStamp [s]	              All #pulses	                  #Pulses	                      #BD	         PS  Vin Marx [V]	        Pulse length [us]	               Delay [ns]	            Cur Level [A]	           Frequency [Hz]	      Temp. Charge switch	       Temp. Pulse switch	                FUG M [V]	                      BDR	       Output voltage [V]	                FUG P [V]	           Stop condition	                 Gap [um]	      MaxPulses per Cycle	              Safe pulses	    Gain Voltage at 0 [V]	   Gain after Timeout [V]	    Conditioning Goal [V]	                  Max BDR	               Cur M [mA]	         Pulses before BD	               PulsesMarx	                        S	             Target V [V]	                 Polarity	                Generator	          Temperature [K]	           CG Step Up [V]	         CG Step Down [V]	          Min Cycles @ GC	    Min Cycles Since Decr	          Max BDR to Incr	          Min BDR to Decr	          Pulse Window GC	              Cycles @ CG	        Cycles Since Decr	                   BDR GC	        Conditioning Mode
                        2	          3769601772.1321	                        5	                        5	                        1	                      466	                     1.00	                      600	                       28	                   850.00	                    20.80	                    29.20	                 466.6270	                 7.058E-6	                6500.4472	                 466.5954	                        0	                       66	                   100000	                    20000	                      -14	                       14	                     6900	                 1.000E-5	                     2.74	                        5	                        5	                        0	                     6500	                        1	                        1	                    287.0	                      100	                      200	                      100	                       20	                 1.000E-6	                 2.000E-5	                 10000000	                        0	                        0	                 1.079E-6	                        2
                        0	          3769601784.6341	                      105	                      100	                        1	                       99	                     1.00	                      600	                        9	                   860.00	                    20.80	                    29.20	                  99.5531	                 7.058E-6	                1300.0551	                  99.5492	                        0	                       66	                   100000	                    20000	                      -14	                       14	                     6900	                 1.000E-5	                     7.87	                        0	                      100	                        1	                     6486	                        1	                        1	                    287.0	                      100	                      200	                      100	                       20	                 1.000E-6	                 2.000E-5	                 10000000	                        0	                        1	                 1.079E-6	                        2
                        0	          3769601787.0795	                      205	                      200	                        1	                      287	                     1.00	                      600	                       16	                   860.00	                    20.80	                    29.20	                 191.0810	                 7.058E-6	                2596.7448	                 191.0637	                        0	                       66	                   100000	                    20000	                      -14	                       14	                     6900	                 1.000E-5	                    15.00	                        0	                      100	                        2	                     6486	                        1	                        1	                    287.0	                      100	                      200	                      100	                       20	                 1.000E-6	                 2.000E-5	                 10000000	                        0	                        1	                 1.079E-6	                        2
                        0	          3769601789.5229	                      305	                      300	                        1	                      259	                     1.00	                      600	                       20	                   860.00	                    20.80	                    29.30	                 259.7350	                 7.058E-6	                3569.3766	                 259.6996	                        0	                       66	                   100000	                    20000	                      -14	                       14	                     6900	                 1.000E-5	                    24.31	                        0	                      100	                        3	                     6486	                        1	                        1	                    287.0	                      100	                      200	                      100	                       20	                 1.000E-6	                 2.000E-5	                 10000000	                        0	                        1	                 1.079E-6	                        2
                        0	          3769601791.9634	                      405	                      400	                        1	                      311	                     1.00	                      600	                       23	                   860.00	                    20.80	                    29.20	                 311.2080	                 7.058E-6	                4298.6024	                 311.1765	                        0	                       66	                   100000	                    20000	                      -14	                       14	                     6900	                 1.000E-5	                    29.31	                        0	                      100	                        4	                     6486	                        1	                        1	                    287.0	                      100	                      200	                      100	                       20	                 1.000E-6	                 2.000E-5	                 10000000	                        0	                        1	                 1.079E-6	                        2
                        0	          3769601794.4055	                      505	                      500	                        1	                      349	                     1.00	                      600	                       24	                   860.00	                    20.70	                    29.30	                 349.8090	                 7.058E-6	                4845.4687	                 349.7842	                        0	                       66	                   100000	                    20000	                      -14	                       14	                     6900	                 1.000E-5	                    33.07	                        0	                      100	                        5	                     6486	                        1	                        1	                    287.0	                      100	                      200	                      100	                       20	                 1.000E-6	                 2.000E-5	                 10000000	                        0	                        1	                 1.079E-6	                        2
                        0	          3769601796.8201	                      605	                      600	                        1	                      378	                     1.00	                      600	                       25	                   860.00	                    20.70	                    29.30	                 378.7840	                 7.058E-6	                5255.9620	                 378.7399	                        0	                       66	                   100000	                    20000	                      -14	                       14	                     6900	                 1.000E-5	                    35.91	                        0	                      100	                        6	                     6486	                        1	                        1	                    287.0	                      100	                      200	                      100	                       20	                 1.000E-6	                 2.000E-5	                 10000000	                        0	                        1	                 1.079E-6	                        2
                        0	          3769601799.2622	                      705	                      700	                        1	                      400	                     1.00	                      600	                       26	                   860.00	                    20.70	                    29.30	                 400.4860	                 7.058E-6	                5563.4175	                 400.4568	                        0	                       66	                   100000	                    20000	                      -14	                       14	                     6900	                 1.000E-5	                    38.05	                        0	                      100	                        7	                     6486	                        1	                        1	                    287.0	                      100	                      200	                      100	                       20	                 1.000E-6	                 2.000E-5	                 10000000	                        0	                        1	                 1.079E-6	                        2
                        0	          3769601801.6869	                      805	                      800	                        1	                      416	                     1.00	                      600	                       27	                   860.00	                    20.70	                    29.30	                 416.7660	                 7.058E-6	                5794.0588	                 416.7444	                        0	                       66	                   100000	                    20000	                      -14	                       14	                     6900	                 1.000E-5	                    39.63	                        0	                      100	                        8	                     6486	                        1	                        1	                    287.0	                      100	                      200	                      100	                       20	                 1.000E-6	                 2.000E-5	                 10000000	                        0	                        1	                 1.079E-6	                        2
                        0	          3769601804.1295	                      905	                      900	                        1	                      428	                     1.00	                      600	                       27	                   860.00	                    20.70	                    29.30	                 428.9940	                 7.058E-6	                5967.2947	                 428.9601	                        0	                       66	                   100000	                    20000	                      -14	                       14	                     6900	                 1.000E-5	                    35.25	                        0	                      100	                        9	                     6486	                        1	                        1	                    287.0	                      100	                      200	                      100	                       20	                 1.000E-6	                 2.000E-5	                 10000000	                        0	                        1	                 1.079E-6	                        2
