V(1) [kV]	V(2) [kV]	V(3) [kV]	I(1) [mA]	I(2) [mA]	I(3) [mA]	MeanV [kV]	MeanI[mA]	SetV [kV]
0.0044396	0.0054074	0.0046531	-0.0004574	-0.0004602	-0.0004589	0.0048333	-0.0004588	0.0000000	3781700698.7686472
0.0839221	0.1046975	0.1052382	-0.0000220	-0.0003815	-0.0004003	0.0979526	-0.0002679	0.1000000	3781700699.9575362
0.1823193	0.2047196	0.2065360	0.0000327	-0.0004044	-0.0004280	0.1978583	-0.0002665	0.2000000	3781700701.1136594
0.2900195	0.3056535	0.3055149	-0.0001436	-0.0004443	-0.0004149	0.3003960	-0.0003343	0.3000000	3781700702.2719278
0.3887855	0.4051402	0.4048630	-0.0000747	-0.0004670	-0.0004307	0.3995962	-0.0003241	0.4000000	3781700703.4509535
0.4855557	0.5052091	0.5055972	-0.0000532	-0.0004285	-0.0004663	0.4987873	-0.0003160	0.5000000	3781700704.6288033
0.5836841	0.6046681	0.6055828	-0.0000422	-0.0004458	-0.0004282	0.5979783	-0.0003054	0.6000000	3781700705.7882929
0.6909324	0.7046815	0.7047924	-0.0001670	-0.0004343	-0.0004708	0.7001354	-0.0003574	0.7000000	3781700706.9670057
0.7797747	0.8036693	0.8049167	0.0000718	-0.0003831	-0.0004496	0.7961202	-0.0002536	0.8000000	3781700708.1401753
0.8779586	0.9045143	0.9054290	0.0000938	-0.0004375	-0.0004478	0.8959673	-0.0002638	0.9000000	3781700709.2954926
0.9890045	1.0053870	1.0064126	-0.0000549	-0.0003973	-0.0004263	1.0002680	-0.0002929	1.0000000	3781700710.4783878
1.0907920	1.1047628	1.1057053	-0.0001540	-0.0004174	-0.0004494	1.1004201	-0.0003403	1.1000000	3781700711.6551986
1.1899738	1.2052475	1.2055247	-0.0001327	-0.0004455	-0.0003923	1.2002487	-0.0003235	1.2000000	3781700712.8159761
1.2825860	1.3050391	1.3051223	0.0000449	-0.0003545	-0.0003709	1.2975825	-0.0002268	1.3000000	3781700713.9786143
1.3865911	1.4052743	1.4057733	-0.0000569	-0.0004026	-0.0004226	1.3992129	-0.0002940	1.4000000	3781700715.1327791
1.4877133	1.5045115	1.5054817	-0.0000673	-0.0003701	-0.0004009	1.4992355	-0.0002794	1.5000000	3781700716.3020735
1.5875327	1.6044972	1.6053011	-0.0000396	-0.0003842	-0.0003775	1.5991103	-0.0002671	1.6000000	3781700717.4700890
1.6909279	1.7048156	1.7051482	-0.0000979	-0.0003915	-0.0003827	1.7002972	-0.0002907	1.7000000	3781700718.6225662
1.7880584	1.8036370	1.8043854	-0.0000974	-0.0004252	-0.0004475	1.7986936	-0.0003234	1.8000000	3781700719.7730384
1.8903449	1.9046483	1.9050364	-0.0001322	-0.0004076	-0.0004489	1.9000099	-0.0003295	1.9000000	3781700720.9220858
1.9794089	2.0042182	2.0055210	0.0000916	-0.0003810	-0.0004037	1.9963827	-0.0002311	2.0000000	3781700722.0988927
2.0801706	2.1043978	2.1049246	0.0000950	-0.0003625	-0.0004006	2.0964977	-0.0002227	2.1000000	3781700723.2656226
2.1882782	2.2043836	2.2053814	-0.0000546	-0.0003810	-0.0003981	2.1993477	-0.0002779	2.2000000	3781700724.4381399
2.2862682	2.3049514	2.3054780	-0.0000083	-0.0004026	-0.0003708	2.2988992	-0.0002606	2.3000000	3781700725.5881567
2.3828720	2.4045440	2.4050988	0.0000325	-0.0003591	-0.0003826	2.3975049	-0.0002364	2.4000000	3781700726.7753057
2.4827810	2.5044212	2.5049760	0.0000077	-0.0003462	-0.0003701	2.4973927	-0.0002362	2.5000000	3781700727.9415688
2.5893168	2.6048532	2.6054080	-0.0000650	-0.0003908	-0.0003830	2.5998593	-0.0002796	2.6000000	3781700729.1068382
2.6908586	2.7047304	2.7061176	-0.0001344	-0.0003222	-0.0003938	2.7005689	-0.0002834	2.7000000	3781700730.2851658
2.7868516	2.8043302	2.8048850	-0.0000152	-0.0003243	-0.0003815	2.7986889	-0.0002404	2.8000000	3781700731.4609504
2.8853418	2.9044848	2.9053172	0.0000221	-0.0003193	-0.0003433	2.8983813	-0.0002135	2.9000000	3781700732.6190286
2.9874384	3.0049170	3.0051944	0.0000366	-0.0003351	-0.0003196	2.9991833	-0.0002060	3.0000000	3781700733.7951503
3.0923096	3.1042392	3.1050716	-0.0000173	-0.0002622	-0.0002763	3.1005401	-0.0001853	3.1000000	3781700734.9593959
3.1835862	3.2041164	3.2052262	0.0002097	-0.0001727	-0.0001960	3.1976429	-0.0000530	3.2000000	3781700736.1420150
3.2895670	3.3048260	3.3053808	0.0002575	-0.0000334	-0.0000029	3.2999246	0.0000738	3.3000000	3781700737.3069177
3.3888894	3.4047032	3.4049806	0.0005384	0.0002393	0.0002561	3.3995244	0.0003446	3.4000000	3781700738.4704041
3.4890440	3.5043030	3.5043030	0.0009229	0.0006886	0.0006572	3.4992167	0.0007562	3.5000000	3781700739.6355495
3.5814304	3.6039028	3.6044576	0.0017754	0.0014399	0.0013980	3.5965969	0.0015378	3.6000000	3781700740.8008065
3.6851918	3.7037800	3.7046124	0.0028428	0.0025897	0.0025589	3.6978614	0.0026638	3.7000000	3781700741.9831233
3.7911726	3.8039346	3.8039346	0.0044560	0.0042540	0.0042813	3.7996806	0.0043304	3.8000000	3781700743.1532321
3.8904950	3.9040892	3.9046442	0.0069278	0.0067813	0.0067695	3.8997428	0.0068262	3.9000000	3781700744.3170967
3.9875978	4.0045214	4.0042440	0.0105966	0.0104772	0.0104728	3.9987877	0.0105155	4.0000000	3781700745.4949694
4.0871976	4.1035662	4.1041212	0.0158193	0.0157810	0.0158344	4.0982950	0.0158116	4.1000000	3781700746.6562390
4.1912362	4.2039984	4.2045532	0.0232206	0.0233201	0.0233895	4.1999293	0.0233100	4.2000000	3781700747.8191152
4.2869520	4.3047080	4.3052628	0.0334422	0.0336234	0.0335919	4.2989743	0.0335525	4.3000000	3781700749.0234318
4.3882164	4.4037528	4.4040302	0.0468230	0.0472044	0.0472489	4.3986665	0.0470921	4.4000000	3781700750.1996322
