V(1) [kV]	V(2) [kV]	V(3) [kV]	I(1) [mA]	I(2) [mA]	I(3) [mA]	MeanV [kV]	MeanI[mA]	SetV [kV]
0.0046226	0.0046642	0.0041928	-0.0004775	-0.0004610	-0.0003429	0.0044932	-0.0004271	0.0000000	3781697097.7143087
0.0855027	0.1046808	0.1051384	-0.0000653	-0.0004123	-0.0003989	0.0984406	-0.0002922	0.1000000	3781697098.9084921
0.1932311	0.2050247	0.2055460	-0.0001829	-0.0004926	-0.0004438	0.2012673	-0.0003731	0.2000000	3781697100.0872025
0.2834221	0.3048219	0.3054040	-0.0000354	-0.0004405	-0.0004450	0.2978827	-0.0003070	0.3000000	3781697101.2477360
0.3862075	0.4046690	0.4050293	-0.0000841	-0.0004510	-0.0004834	0.3986353	-0.0003395	0.4000000	3781697102.4434338
0.4881613	0.5044329	0.5046270	-0.0001188	-0.0004269	-0.0004607	0.4990737	-0.0003355	0.5000000	3781697103.6164865
0.5905864	0.6052502	0.6050007	-0.0001392	-0.0004223	-0.0004487	0.6002791	-0.0003367	0.6000000	3781697104.7673497
0.6842519	0.7039331	0.7047924	-0.0000446	-0.0004121	-0.0004388	0.6976591	-0.0002985	0.7000000	3781697105.9319777
0.7863166	0.8038910	0.8046117	-0.0000503	-0.0004281	-0.0004338	0.7982731	-0.0003041	0.8000000	3781697107.1095152
0.8874388	0.9042648	0.9054567	-0.0000612	-0.0003904	-0.0004148	0.8990534	-0.0002888	0.9000000	3781697108.2827520
0.9920814	1.0049712	1.0056087	-0.0001302	-0.0004450	-0.0004222	1.0008871	-0.0003325	1.0000000	3781697109.4414535
1.0811455	1.1046520	1.1050123	0.0000716	-0.0004471	-0.0004296	1.0969366	-0.0002684	1.1000000	3781697110.6143680
1.1873127	1.2044990	1.2048594	-0.0000717	-0.0004104	-0.0004458	1.1988904	-0.0003093	1.2000000	3781697111.7734799
1.2867994	1.3046788	1.3051777	-0.0000561	-0.0004236	-0.0004652	1.2988853	-0.0003150	1.3000000	3781697112.9364295
1.3863416	1.4041932	1.4046367	-0.0001658	-0.0003961	-0.0004100	1.3983905	-0.0003239	1.4000000	3781697114.1044230
1.4825019	1.5040403	1.5050382	0.0000017	-0.0004438	-0.0004142	1.4971935	-0.0002854	1.5000000	3781697115.2853823
1.5870614	1.6046913	1.6048299	-0.0000735	-0.0004040	-0.0004150	1.5988609	-0.0002975	1.6000000	3781697116.4376202
1.6849127	1.7047047	1.7049264	-0.0000338	-0.0004134	-0.0003972	1.6981813	-0.0002814	1.7000000	3781697117.5956922
1.7850924	1.8031381	1.8039696	-0.0000128	-0.0003802	-0.0003898	1.7974000	-0.0002609	1.8000000	3781697118.7654791
