V(1) [kV]	V(2) [kV]	V(3) [kV]	I(1) [mA]	I(2) [mA]	I(3) [mA]	MeanV [kV]	MeanI[mA]	SetV [kV]
1.8877946	1.9036781	1.9042880	-0.0000993	-0.0004006	-0.0003871	1.8985869	-0.0002957	1.9000000	3781697119.9137406
1.9851469	2.0039132	2.0043290	-0.0000542	-0.0004030	-0.0003646	1.9977964	-0.0002739	2.0000000	3781697121.0662088
2.0911478	2.1039266	2.1046750	-0.0001292	-0.0003612	-0.0003809	2.0999165	-0.0002904	2.1000000	3781697122.2392888
2.1794080	2.2040232	2.2053260	0.0001239	-0.0003549	-0.0003830	2.1962524	-0.0002046	2.2000000	3781697123.4042578
2.2782016	2.3045078	2.3054780	0.0001520	-0.0003802	-0.0003875	2.2960625	-0.0002052	2.3000000	3781697124.5617790
2.3846460	2.4042664	2.4050988	-0.0000125	-0.0003612	-0.0003927	2.3980037	-0.0002555	2.4000000	3781697125.7244606
2.4852780	2.5041436	2.5049760	-0.0000218	-0.0003780	-0.0003950	2.4981325	-0.0002649	2.5000000	3781697126.8923807
2.5898716	2.6048532	2.6048532	-0.0001113	-0.0004049	-0.0003578	2.5998593	-0.0002913	2.6000000	3781697128.0455742
2.6889166	2.7041756	2.7047304	-0.0000820	-0.0004045	-0.0004157	2.6992742	-0.0003007	2.7000000	3781697129.2143278
2.7868516	2.8026656	2.8037754	-0.0000575	-0.0003644	-0.0003789	2.7977642	-0.0002669	2.8000000	3781697130.3694649
2.8822900	2.9033752	2.9039300	0.0000543	-0.0003381	-0.0003726	2.8965317	-0.0002188	2.9000000	3781697131.5487328
2.9888256	3.0035298	3.0046396	-0.0001149	-0.0003062	-0.0003500	2.9989983	-0.0002570	3.0000000	3781697132.7097135
3.0906448	3.1031296	3.1039618	-0.0000045	-0.0002601	-0.0003037	3.0992454	-0.0001894	3.1000000	3781697133.8901305
3.1821990	3.2032842	3.2038390	0.0002592	-0.0001676	-0.0001704	3.1964407	-0.0000263	3.2000000	3781697135.0789328
3.2901218	3.3042712	3.3042712	0.0002518	0.0000121	0.0000032	3.2995547	0.0000891	3.3000000	3781697136.2559042
3.3794564	3.4033160	3.4044258	0.0007405	0.0003022	0.0002963	3.3957327	0.0004463	3.4000000	3781697137.4297810
3.4859922	3.5031932	3.5034706	0.0010901	0.0007800	0.0007688	3.4975520	0.0008797	3.5000000	3781697138.5995226
3.5858694	3.6027930	3.6039028	0.0018643	0.0015674	0.0015772	3.5975217	0.0016697	3.6000000	3781697139.7602353
3.6799204	3.7029476	3.7043348	0.0031280	0.0028300	0.0028187	3.6957343	0.0029255	3.7000000	3781697140.9344153
3.7811848	3.8031024	3.8039346	0.0049486	0.0046717	0.0046019	3.7960739	0.0047407	3.8000000	3781697142.1051512
3.8807846	3.9021472	3.9038118	0.0075526	0.0073050	0.0072826	3.8955812	0.0073800	3.9000000	3781697143.2692833
3.9806618	4.0023018	4.0036890	0.0113466	0.0113263	0.0112877	3.9955509	0.0113202	4.0000000	3781697144.4697614
4.0855330	4.1035662	4.1041212	0.0168435	0.0168518	0.0168970	4.0977401	0.0168641	4.1000000	3781697145.6244783
4.1851326	4.2034436	4.2045532	0.0245685	0.0247049	0.0247840	4.1977098	0.0246858	4.2000000	3781697146.7877440
4.2858422	4.3033208	4.3041530	0.0351125	0.0354447	0.0353673	4.2977720	0.0353082	4.3000000	3781697147.9554510
4.3796158	4.4031980	4.4037528	0.0489759	0.0496219	0.0495581	4.3955222	0.0493853	4.4000000	3781697149.1291704
4.4817126	4.5025202	4.5033526	0.0678452	0.0682853	0.0685211	4.4958618	0.0682172	4.5000000	3781697150.3069968
4.5907452	4.6029524	4.6032298	0.0924961	0.0933025	0.0935409	4.5989758	0.0931132	4.6000000	3781697151.4925632
4.6811896	4.7025522	4.7031070	0.1230435	0.1248674	0.1250111	4.6956163	0.1243073	4.7000000	3781697152.6698465
4.7855058	4.8024294	4.8027068	0.1631237	0.1630163	0.1625703	4.7968807	0.1629034	4.8000000	3781697153.8289313
4.8820536	4.9014742	4.9020292	0.2063258	0.2072635	0.2071314	4.8951857	0.2069069	4.9000000	3781697154.9764543
