V(1) [kV]	V(2) [kV]	V(3) [kV]	I(1) [mA]	I(2) [mA]	I(3) [mA]	MeanV [kV]	MeanI[mA]	SetV [kV]
3.4943152	4.3748994	4.4023656	0.0353054	0.0498923	0.0510390	4.0905267	0.0454122	4.4000000	3781692082.4342046
4.4037528	4.4034754	4.4037528	0.0509805	0.0510074	0.0508316	4.4036603	0.0509398	4.4000000	3781692083.5915704
4.4034754	4.4034754	4.4037528	0.0510222	0.0509799	0.0510807	4.4035679	0.0510276	4.4000000	3781692084.7749529
4.4040302	4.4037528	4.4037528	0.0513049	0.0515540	0.0514999	4.4038453	0.0514530	4.4000000	3781692085.9369631
4.4040302	4.4037528	4.4037528	0.0516032	0.0513787	0.0514992	4.4038453	0.0514937	4.4000000	3781692087.0928440
4.4034754	4.4040302	4.4043076	0.0511651	0.0517627	0.0516923	4.4039377	0.0515400	4.4000000	3781692088.2441120
4.4037528	4.4037528	4.4034754	0.0514878	0.0513920	0.0513978	4.4036603	0.0514259	4.4000000	3781692089.4166446
4.4043076	4.4034754	4.4040302	0.0514014	0.0512829	0.0515068	4.4039377	0.0513970	4.4000000	3781692090.5929503
4.4040302	4.4034754	4.4040302	0.0516067	0.0515767	0.0515801	4.4038453	0.0515879	4.4000000	3781692091.7592649
4.4045852	4.4037528	4.4040302	0.0516692	0.0515153	0.0515243	4.4041227	0.0515696	4.4000000	3781692092.9274073
4.4043076	4.4040302	4.4043076	0.0515341	0.0516015	0.0516401	4.4042151	0.0515919	4.4000000	3781692094.1064320
4.4040302	4.4040302	4.4040302	0.0515100	0.0514145	0.0514923	4.4040302	0.0514723	4.4000000	3781692095.2585354
4.4037528	4.4037528	4.4043076	0.0516360	0.0515933	0.0520033	4.4039377	0.0517442	4.4000000	3781692096.4210258
4.4037528	4.4040302	4.4043076	0.0519752	0.0521082	0.0518747	4.4040302	0.0519860	4.4000000	3781692097.5717034
4.4045852	4.4037528	4.4043076	0.0521889	0.0521507	0.0520664	4.4042152	0.0521353	4.4000000	3781692098.7313218
4.4034754	4.4037528	4.4037528	0.0521049	0.0519719	0.0516650	4.4036603	0.0519139	4.4000000	3781692099.8888159
4.4040302	4.4037528	4.4040302	0.0513808	0.0516059	0.0517511	4.4039377	0.0515793	4.4000000	3781692101.0581727
4.4043076	4.4040302	4.4040302	0.0516527	0.0516355	0.0516290	4.4041227	0.0516391	4.4000000	3781692102.2190890
4.4040302	4.4037528	4.4040302	0.0516653	0.0515843	0.0517194	4.4039377	0.0516563	4.4000000	3781692103.3781614
4.4034754	4.4037528	4.4034754	0.0521157	0.0517162	0.0517691	4.4035679	0.0518670	4.4000000	3781692104.5424209
4.4040302	4.4040302	4.4040302	0.0518488	0.0518708	0.0518090	4.4040302	0.0518429	4.4000000	3781692105.7054615
4.4043076	4.4040302	4.4037528	0.0519105	0.0520478	0.0520866	4.4040302	0.0520150	4.4000000	3781692106.8723030
4.4043076	4.4040302	4.4040302	0.0520392	0.0520842	0.0523820	4.4041227	0.0521685	4.4000000	3781692108.0225754
4.4043076	4.4040302	4.4045852	0.0524038	0.0521925	0.0522803	4.4043077	0.0522922	4.4000000	3781692109.1784286
4.4045852	4.4040302	4.4037528	0.0524280	0.0523625	0.0524172	4.4041227	0.0524026	4.4000000	3781692110.3572168
4.4040302	4.4040302	4.4040302	0.0525452	0.0524102	0.0524840	4.4040302	0.0524798	4.4000000	3781692111.5251985
4.4040302	4.4043076	4.4037528	0.0524342	0.0526010	0.0526509	4.4040302	0.0525620	4.4000000	3781692112.6835728
4.4040302	4.4037528	4.4040302	0.0521472	0.0522850	0.0525437	4.4039377	0.0523253	4.4000000	3781692113.8426456
4.4040302	4.4037528	4.4031980	0.0524833	0.0525028	0.0525383	4.4036603	0.0525082	4.4000000	3781692115.0071058
4.4043076	4.4043076	4.4031980	0.0526883	0.0524247	0.0523630	4.4039377	0.0524920	4.4000000	3781692116.1757960
4.4037528	4.4040302	4.4045852	0.0525764	0.0525359	0.0523476	4.4041227	0.0524866	4.4000000	3781692117.3263774
4.4037528	4.4037528	4.4040302	0.0521611	0.0525429	0.0523308	4.4038453	0.0523449	4.4000000	3781692118.4840026
4.4040302	4.4043076	4.4037528	0.0523293	0.0521909	0.0520288	4.4040302	0.0521830	4.4000000	3781692119.6529345
4.4040302	4.4040302	4.4043076	0.0520686	0.0521260	0.0521218	4.4041227	0.0521055	4.4000000	3781692120.8220849
4.4040302	4.4034754	4.4045852	0.0520609	0.0520406	0.0518421	4.4040303	0.0519812	4.4000000	3781692121.9767528
4.4043076	4.4043076	4.4043076	0.0522292	0.0523974	0.0522949	4.4043076	0.0523072	4.4000000	3781692123.1394119
