V(1) [kV]	V(2) [kV]	V(3) [kV]	I(1) [mA]	I(2) [mA]	I(3) [mA]	MeanV [kV]	MeanI[mA]	SetV [kV]
2.9965938	4.3574208	4.4020882	0.0460729	0.0875404	0.0901191	3.9187009	0.0745775	4.4000000	3781684368.6642432
4.4034754	4.4043076	4.4040302	0.0900243	0.0895677	0.0892050	4.4039377	0.0895990	4.4000000	3781684369.8159542
4.4040302	4.4040302	4.4043076	0.0890150	0.0888095	0.0888720	4.4041227	0.0888988	4.4000000	3781684370.9895782
4.4037528	4.4048626	4.4040302	0.0887145	0.0886686	0.0886634	4.4042152	0.0886822	4.4000000	3781684372.1532226
4.4045852	4.4043076	4.4043076	0.0885717	0.0881139	0.0884001	4.4044001	0.0883619	4.4000000	3781684373.3238769
4.4040302	4.4040302	4.4034754	0.0882127	0.0879159	0.0879771	4.4038453	0.0880352	4.4000000	3781684374.4920320
4.4037528	4.4037528	4.4034754	0.0878853	0.0877325	0.0878399	4.4036603	0.0878192	4.4000000	3781684375.6634006
4.4040302	4.4037528	4.4037528	0.0877198	0.0877252	0.0878251	4.4038453	0.0877567	4.4000000	3781684376.8387170
4.4040302	4.4043076	4.4043076	0.0879798	0.0877280	0.0877457	4.4042151	0.0878178	4.4000000	3781684378.0142193
4.4037528	4.4040302	4.4043076	0.0875971	0.0875215	0.0877588	4.4040302	0.0876258	4.4000000	3781684379.1898570
4.4043076	4.4037528	4.4043076	0.0876945	0.0874998	0.0876221	4.4041227	0.0876055	4.4000000	3781684380.3624992
4.4043076	4.4043076	4.4037528	0.0875540	0.0877208	0.0875906	4.4041227	0.0876218	4.4000000	3781684381.5423846
4.4034754	4.4034754	4.4040302	0.0874812	0.0872918	0.0872922	4.4036603	0.0873550	4.4000000	3781684382.6930752
4.4040302	4.4045852	4.4037528	0.0872858	0.0868421	0.0867519	4.4041227	0.0869599	4.4000000	3781684383.8637648
4.4034754	4.4034754	4.4040302	0.0869148	0.0868824	0.0868713	4.4036603	0.0868895	4.4000000	3781684385.0850039
4.4043076	4.4040302	4.4040302	0.0870966	0.0870677	0.0868708	4.4041227	0.0870117	4.4000000	3781684386.2460561
