V(1) [kV]	V(2) [kV]	V(3) [kV]	I(1) [mA]	I(2) [mA]	I(3) [mA]	MeanV [kV]	MeanI[mA]	SetV [kV]
0.0222672	0.0192973	0.0171261	-0.0004417	-0.0004364	-0.0004324	0.0195635	-0.0004368	0.0000000	3781672002.2767200
0.1052049	0.1051134	0.1054933	-0.0004052	-0.0003871	-0.0004218	0.1052706	-0.0004047	0.1000000	3781672004.3547778
0.2055294	0.2056569	0.2053436	-0.0004033	-0.0004140	-0.0003978	0.2055099	-0.0004051	0.2000000	3781672006.4370470
0.3053209	0.3052377	0.3056258	-0.0004148	-0.0004238	-0.0004090	0.3053948	-0.0004158	0.3000000	3781672008.5200424
0.4051125	0.4047799	0.4055837	-0.0003687	-0.0003815	-0.0004069	0.4051587	-0.0003857	0.4000000	3781672010.6037025
0.5052922	0.5058466	0.5052091	-0.0004159	-0.0004297	-0.0003821	0.5054493	-0.0004092	0.5000000	3781672012.6724958
0.6053056	0.6059709	0.6052779	-0.0003787	-0.0003885	-0.0003753	0.6055182	-0.0003808	0.6000000	3781672014.7442689
0.7052082	0.7053468	0.7054854	-0.0003842	-0.0004165	-0.0004186	0.7053468	-0.0004064	0.7000000	3781672016.8368521
0.8049167	0.8049444	0.8051384	-0.0003441	-0.0003843	-0.0004018	0.8049998	-0.0003767	0.8000000	3781672018.9081521
0.9053181	0.9055953	0.9049023	-0.0003932	-0.0004019	-0.0003430	0.9052719	-0.0003794	0.9000000	3781672020.9842935
1.0051929	1.0059968	1.0058305	-0.0003902	-0.0003845	-0.0003806	1.0056734	-0.0003851	1.0000000	3781672023.0395174
1.1050678	1.1051232	1.1050400	-0.0003755	-0.0003941	-0.0003461	1.1050770	-0.0003719	1.1000000	3781672025.1161280
1.2054415	1.2054138	1.2054138	-0.0003631	-0.0003754	-0.0003946	1.2054230	-0.0003777	1.2000000	3781672027.1857634
1.3050114	1.3051500	1.3049283	-0.0003940	-0.0003707	-0.0003872	1.3050299	-0.0003840	1.3000000	3781672029.2493992
1.4048585	1.4048862	1.4051634	-0.0003950	-0.0003947	-0.0003921	1.4049694	-0.0003939	1.4000000	3781672031.3121190
1.5053709	1.5047610	1.5044561	-0.0004116	-0.0003669	-0.0003871	1.5048627	-0.0003885	1.5000000	3781672033.3763862
1.6053288	1.6053288	1.6057446	-0.0003802	-0.0003774	-0.0003785	1.6054674	-0.0003787	1.6000000	3781672035.4492559
1.7055363	1.7049819	1.7049542	-0.0003982	-0.0003746	-0.0003915	1.7051574	-0.0003881	1.7000000	3781672037.5181136
1.8043854	1.8042191	1.8045518	-0.0003623	-0.0003618	-0.0003763	1.8043854	-0.0003668	1.8000000	3781672039.5855598
1.9046761	1.9048424	1.9049255	-0.0003691	-0.0003386	-0.0003961	1.9048147	-0.0003679	1.9000000	3781672041.6675744
2.0054932	2.0049666	2.0047448	-0.0003554	-0.0003805	-0.0003810	2.0050682	-0.0003723	2.0000000	3781672043.7332048
2.1051186	2.1047582	2.1054234	-0.0003678	-0.0003923	-0.0003650	2.1051001	-0.0003751	2.1000000	3781672045.7969642
2.2047994	2.2052428	2.2053538	-0.0003757	-0.0003419	-0.0003882	2.2051320	-0.0003686	2.2000000	3781672047.8628335
2.3054780	2.3063650	2.3057552	-0.0003596	-0.0003742	-0.0003840	2.3058661	-0.0003726	2.3000000	3781672049.9418025
2.4050988	2.4056536	2.4050988	-0.0003618	-0.0003823	-0.0003959	2.4052837	-0.0003800	2.4000000	3781672052.0246425
2.5046986	2.5049760	2.5049760	-0.0003599	-0.0003730	-0.0003650	2.5048835	-0.0003659	2.5000000	3781672054.1095719
2.6051306	2.6054080	2.6054080	-0.0003374	-0.0003247	-0.0003961	2.6053155	-0.0003527	2.6000000	3781672056.1724110
2.7050078	2.7055628	2.7061176	-0.0003510	-0.0003409	-0.0003487	2.7055627	-0.0003469	2.7000000	3781672058.2368770
2.8051626	2.8046076	2.8051626	-0.0003580	-0.0003172	-0.0003582	2.8049776	-0.0003445	2.8000000	3781672060.3007975
2.9053172	2.9050398	2.9050398	-0.0003474	-0.0003269	-0.0003259	2.9051323	-0.0003334	2.9000000	3781672062.3820782
3.0051944	3.0054718	3.0051944	-0.0003221	-0.0003183	-0.0002832	3.0052869	-0.0003079	3.0000000	3781672064.4603457
3.1056264	3.1059040	3.1059040	-0.0002653	-0.0003051	-0.0002468	3.1058115	-0.0002724	3.1000000	3781672066.5466833
3.2055036	3.2049488	3.2049488	-0.0001669	-0.0002137	-0.0001968	3.2051337	-0.0001925	3.2000000	3781672068.6161423
