V(1) [kV]	V(2) [kV]	V(3) [kV]	I(1) [mA]	I(2) [mA]	I(3) [mA]	MeanV [kV]	MeanI[mA]	SetV [kV]
3.3056584	3.3051034	3.3056584	0.0000049	-0.0000262	-0.0000624	3.3054734	-0.0000279	3.3000000	3781672070.6943774
3.4055356	3.4052582	3.4049806	0.0002262	0.0002039	0.0002371	3.4052581	0.0002224	3.4000000	3781672072.7649608
3.5045804	3.5043030	3.5048578	0.0006397	0.0006730	0.0006199	3.5045804	0.0006442	3.5000000	3781672074.8372550
3.6047350	3.6044576	3.6047350	0.0013367	0.0013289	0.0013330	3.6046425	0.0013329	3.6000000	3781672076.9143562
3.7051672	3.7048898	3.7048898	0.0024156	0.0024017	0.0023976	3.7049823	0.0024050	3.7000000	3781672078.9910994
3.8042120	3.8039346	3.8042120	0.0040246	0.0040193	0.0040485	3.8041195	0.0040308	3.8000000	3781672081.0654335
3.9040892	3.9040892	3.9038118	0.0064821	0.0064676	0.0065188	3.9039967	0.0064895	3.9000000	3781672083.1329713
4.0047988	4.0047988	4.0039666	0.0102234	0.0101679	0.0101817	4.0045214	0.0101910	4.0000000	3781672085.2170095
4.1041212	4.1043986	4.1043986	0.0155675	0.0155733	0.0155201	4.1043061	0.0155536	4.1000000	3781672087.2825055
4.2039984	4.2048306	4.2037210	0.0229746	0.0229839	0.0229835	4.2041833	0.0229807	4.2000000	3781672089.3456655
4.3041530	4.3047080	4.3041530	0.0332837	0.0332504	0.0331693	4.3043380	0.0332345	4.3000000	3781672091.4154496
4.4040302	4.4048626	4.4045852	0.0471046	0.0469712	0.0468597	4.4044927	0.0469785	4.4000000	3781672093.4873495
4.5039074	4.5039074	4.5033526	0.0650785	0.0648486	0.0650158	4.5037225	0.0649810	4.5000000	3781672095.5572338
4.6035072	4.6035072	4.6037846	0.0893488	0.0893343	0.0892464	4.6035997	0.0893098	4.6000000	3781672097.6238494
4.7039394	4.7039394	4.7047716	0.1202502	0.1205745	0.1210903	4.7042168	0.1206383	4.7000000	3781672099.6823702
4.8029842	4.8032616	4.8029842	0.1600302	0.1604572	0.1602680	4.8030767	0.1602518	4.8000000	3781672101.7546000
4.9023066	4.9028614	4.9028614	0.2096678	0.2098863	0.2096225	4.9026765	0.2097255	4.9000000	3781672103.8386712
