V(1) [kV]	V(2) [kV]	V(3) [kV]	I(1) [mA]	I(2) [mA]	I(3) [mA]	MeanV [kV]	MeanI[mA]	SetV [kV]
0.0039765	0.0037685	0.0041789	-0.0004453	-0.0003185	-0.0004555	0.0039746	-0.0004064	0.0000000	3781699768.7444215
0.0830597	0.1040735	0.1040098	-0.0000204	-0.0003828	-0.0003776	0.0970477	-0.0002603	0.1000000	3781699769.9393129
0.1815651	0.2047307	0.2052576	0.0000463	-0.0004250	-0.0004444	0.1971845	-0.0002744	0.2000000	3781699771.0956449
0.2897700	0.3044615	0.3050159	-0.0001275	-0.0004243	-0.0004585	0.2997492	-0.0003368	0.3000000	3781699772.2621665
0.3876767	0.4037265	0.4041423	-0.0001033	-0.0004220	-0.0004818	0.3985152	-0.0003357	0.4000000	3781699773.4286385
0.4861932	0.5037676	0.5047378	-0.0000909	-0.0004211	-0.0004275	0.4982329	-0.0003132	0.5000000	3781699774.5882630
0.5915011	0.6043077	0.6052502	-0.0001916	-0.0004157	-0.0004585	0.6003530	-0.0003553	0.6000000	3781699775.7552929
0.6894355	0.7042657	0.7043211	-0.0001433	-0.0004669	-0.0004186	0.6993408	-0.0003430	0.7000000	3781699776.9033647
0.7906132	0.8033643	0.8040573	-0.0001706	-0.0003966	-0.0004215	0.7993450	-0.0003296	0.8000000	3781699778.0536537
0.8880209	0.9040430	0.9040153	-0.0001224	-0.0003902	-0.0004021	0.8986931	-0.0003049	0.9000000	3781699779.1974630
0.9834051	1.0034189	1.0045000	-0.0000151	-0.0003889	-0.0004409	0.9971080	-0.0002816	1.0000000	3781699780.3685322
1.0808960	1.1035986	1.1039312	0.0000529	-0.0003959	-0.0004629	1.0961419	-0.0002686	1.1000000	3781699781.5235095
1.1837368	1.2036120	1.2048594	-0.0000084	-0.0003578	-0.0004166	1.1974027	-0.0002609	1.2000000	3781699782.6737046
1.2915395	1.3044016	1.3049005	-0.0001422	-0.0004211	-0.0004397	1.3002806	-0.0003344	1.3000000	3781699783.8174782
1.3853714	1.4036665	1.4039715	-0.0000391	-0.0004179	-0.0003730	1.3976698	-0.0002766	1.4000000	3781699784.9796767
1.4814209	1.5039017	1.5040957	0.0000093	-0.0003687	-0.0003916	1.4964728	-0.0002503	1.5000000	3781699786.1256962
1.5812125	1.6041369	1.6048022	0.0000770	-0.0003965	-0.0003941	1.5967172	-0.0002379	1.6000000	3781699787.2871127
1.6885994	1.7039285	1.7040671	-0.0001000	-0.0003947	-0.0004117	1.6988650	-0.0003021	1.7000000	3781699788.4619970
1.7891949	1.8039696	1.8039696	-0.0001368	-0.0003755	-0.0003911	1.7990447	-0.0003011	1.8000000	3781699789.6360793
1.8874066	1.9030406	1.9041494	-0.0001005	-0.0003883	-0.0003836	1.8981988	-0.0002908	1.9000000	3781699790.7908111
1.9828185	2.0033310	2.0037746	-0.0000162	-0.0004028	-0.0003954	1.9966414	-0.0002715	2.0000000	3781699791.9607306
2.0767888	2.1032060	2.1040374	0.0000998	-0.0003728	-0.0004006	2.0946774	-0.0002245	2.1000000	3781699793.1030822
2.1827344	2.2040786	2.2046884	0.0000457	-0.0003758	-0.0003791	2.1971671	-0.0002364	2.2000000	3781699794.2598176
2.2806964	2.3040920	2.3048128	0.0000321	-0.0003755	-0.0004060	2.2965337	-0.0002498	2.3000000	3781699795.4180241
2.3819296	2.4031568	2.4042664	0.0000348	-0.0003807	-0.0003830	2.3964509	-0.0002430	2.4000000	3781699796.5934153
2.4869426	2.5035888	2.5044212	-0.0001009	-0.0003652	-0.0003742	2.4983175	-0.0002801	2.5000000	3781699797.7522631
2.5851552	2.6040210	2.6048532	-0.0000180	-0.0003542	-0.0003850	2.5980098	-0.0002524	2.6000000	3781699798.9011078
2.6872520	2.7038982	2.7041756	-0.0000317	-0.0003680	-0.0003505	2.6984419	-0.0002500	2.7000000	3781699800.0477986
2.7854646	2.8029430	2.8040528	-0.0000123	-0.0003460	-0.0003756	2.7974868	-0.0002446	2.8000000	3781699801.2107530
2.8895032	2.9033752	2.9039300	-0.0000444	-0.0003403	-0.0003135	2.8989361	-0.0002327	2.9000000	3781699802.3660302
2.9888256	3.0038072	3.0043620	-0.0000084	-0.0003070	-0.0003042	2.9989983	-0.0002065	3.0000000	3781699803.5230641
3.0862058	3.1039618	3.1047942	0.0000826	-0.0002634	-0.0002644	3.0983206	-0.0001484	3.1000000	3781699804.6732926
3.1916318	3.2038390	3.2041164	-0.0000027	-0.0002123	-0.0002101	3.1998624	-0.0001417	3.2000000	3781699805.8371272
3.2848506	3.3042712	3.3048260	0.0003227	-0.0000113	-0.0001059	3.2979826	0.0000685	3.3000000	3781699806.9964232
3.3830632	3.4035934	3.4047032	0.0005855	0.0002477	0.0002286	3.3971199	0.0003539	3.4000000	3781699808.1546073
3.4821080	3.5037482	3.5045804	0.0010783	0.0006785	0.0006707	3.4968122	0.0008092	3.5000000	3781699809.3182192
3.5850370	3.6030704	3.6041802	0.0016709	0.0014082	0.0013949	3.5974292	0.0014913	3.6000000	3781699810.4696207
3.6846368	3.7029476	3.7043348	0.0028059	0.0025483	0.0025361	3.6973064	0.0026301	3.7000000	3781699811.6331954
3.7883982	3.8031024	3.8031024	0.0044421	0.0042451	0.0042778	3.7982010	0.0043217	3.8000000	3781699812.7918649
3.8874430	3.9021472	3.9032570	0.0069486	0.0067578	0.0067283	3.8976157	0.0068115	3.9000000	3781699813.9525714
3.9864880	4.0034116	4.0042440	0.0105709	0.0105122	0.0104963	3.9980479	0.0105265	4.0000000	3781699815.1120305
4.0785970	4.1030114	4.1035662	0.0157697	0.0157858	0.0156985	4.0950582	0.0157513	4.1000000	3781699816.2739158
4.1756998	4.2023338	4.2031660	0.0229821	0.0231739	0.0232628	4.1937332	0.0231396	4.2000000	3781699817.4255638
4.2844550	4.3033208	4.3035982	0.0333107	0.0334714	0.0335345	4.2971247	0.0334389	4.3000000	3781699818.5982790
4.3859968	4.4026430	4.4040302	0.0467789	0.0473596	0.0473664	4.3975567	0.0471683	4.4000000	3781699819.7729521
4.4817126	4.5025202	4.5030752	0.0646128	0.0651561	0.0652153	4.4957693	0.0649947	4.5000000	3781699820.9204392
4.5868610	4.6026750	4.6032298	0.0880385	0.0890176	0.0892128	4.5975886	0.0887563	4.6000000	3781699822.0758367
4.6856284	4.7022746	4.7036618	0.1182320	0.1197828	0.1195750	4.6971883	0.1191966	4.7000000	3781699823.2364850
4.7888350	4.8015970	4.8027068	0.1567122	0.1580131	0.1584763	4.7977129	0.1577339	4.8000000	3781699824.3971834
4.8751178	4.9014742	4.9028614	0.2024600	0.2054381	0.2054635	4.8931511	0.2044539	4.9000000	3781699825.5576854
