V(1) [kV]	V(2) [kV]	V(3) [kV]	I(1) [mA]	I(2) [mA]	I(3) [mA]	MeanV [kV]	MeanI[mA]	SetV [kV]
0.0059620	0.0047252	0.0056236	-0.0003646	-0.0003598	-0.0003854	0.0054369	-0.0003699	0.0000000	3781684176.4435878
0.1059564	0.1057928	0.1055626	-0.0003823	-0.0003757	-0.0003440	0.1057706	-0.0003673	0.1000000	3781684178.5264606
0.2059619	0.2071543	0.2065775	-0.0003393	-0.0004227	-0.0004103	0.2065646	-0.0003908	0.2000000	3781684180.6082239
0.3057367	0.3062633	0.3067069	-0.0003389	-0.0003654	-0.0003638	0.3062356	-0.0003561	0.3000000	3781684182.6859784
0.4052234	0.4056669	0.4054174	-0.0003394	-0.0003557	-0.0003629	0.4054359	-0.0003526	0.4000000	3781684184.7780442
0.5057635	0.5057080	0.5061238	-0.0003396	-0.0003874	-0.0003467	0.5058651	-0.0003579	0.5000000	3781684186.8425608
0.6058878	0.6055551	0.6060264	-0.0003163	-0.0003258	-0.0003366	0.6058231	-0.0003263	0.6000000	3781684188.9151416
0.7052082	0.7049587	0.7054854	-0.0003339	-0.0003460	-0.0003998	0.7052174	-0.0003599	0.7000000	3781684190.9926062
0.8049998	0.8053325	0.8056651	-0.0003232	-0.0003122	-0.0003807	0.8053325	-0.0003387	0.8000000	3781684193.0627646
0.9057617	0.9053736	0.9055122	-0.0003388	-0.0003602	-0.0003630	0.9055491	-0.0003540	0.9000000	3781684195.1300664
1.0055810	1.0055256	1.0061077	-0.0003430	-0.0003398	-0.0003325	1.0057381	-0.0003384	1.0000000	3781684197.2023873
1.1051232	1.1054558	1.1050400	-0.0003615	-0.0003480	-0.0003482	1.1052064	-0.0003526	1.1000000	3781684199.2761974
1.2055247	1.2059682	1.2063008	-0.0003380	-0.0003252	-0.0003314	1.2059312	-0.0003315	1.2000000	3781684201.3563280
1.3057876	1.3060370	1.3057044	-0.0003130	-0.0003560	-0.0003536	1.3058430	-0.0003408	1.3000000	3781684203.4964352
1.4049417	1.4050803	1.4054961	-0.0003312	-0.0003433	-0.0003060	1.4051727	-0.0003268	1.4000000	3781684205.5665040
1.5058421	1.5057589	1.5055926	-0.0002939	-0.0003099	-0.0003349	1.5057312	-0.0003129	1.5000000	3781684207.6396918
1.6056337	1.6058555	1.6063267	-0.0003260	-0.0003415	-0.0003507	1.6059387	-0.0003394	1.6000000	3781684209.7070312
1.7055086	1.7055086	1.7050096	-0.0003584	-0.0003389	-0.0003341	1.7053422	-0.0003438	1.7000000	3781684211.8409977
1.8046072	1.8048567	1.8046072	-0.0003316	-0.0003268	-0.0003483	1.8046904	-0.0003355	1.8000000	3781684213.9092255
1.9051196	1.9050087	1.9052027	-0.0003490	-0.0003135	-0.0003238	1.9051103	-0.0003288	1.9000000	3781684215.9817958
2.0057150	2.0058536	2.0054656	-0.0003032	-0.0003156	-0.0003049	2.0056781	-0.0003079	2.0000000	3781684218.0442066
2.1055344	2.1050076	2.1055344	-0.0003097	-0.0003177	-0.0003235	2.1053588	-0.0003170	2.1000000	3781684220.1147385
2.2057972	2.2057696	2.2059912	-0.0003301	-0.0002911	-0.0003062	2.2058527	-0.0003091	2.2000000	3781684222.1802168
2.3066978	2.3061434	2.3062542	-0.0003175	-0.0003389	-0.0003287	2.3063651	-0.0003283	2.3000000	3781684224.2581782
2.4050988	2.4053762	2.4048214	-0.0003009	-0.0003413	-0.0003798	2.4050988	-0.0003407	2.4000000	3781684226.3300166
2.5049760	2.5046986	2.5049760	-0.0003191	-0.0003380	-0.0003314	2.5048835	-0.0003295	2.5000000	3781684228.4175105
2.6048532	2.6054080	2.6051306	-0.0003264	-0.0003029	-0.0003063	2.6051306	-0.0003119	2.6000000	3781684230.4757638
2.7052854	2.7050078	2.7052854	-0.0003216	-0.0003076	-0.0003209	2.7051929	-0.0003167	2.7000000	3781684232.5400066
2.8048850	2.8043302	2.8046076	-0.0003115	-0.0002828	-0.0002720	2.8046076	-0.0002888	2.8000000	3781684234.6120286
2.9050398	2.9050398	2.9050398	-0.0002550	-0.0002553	-0.0002421	2.9050398	-0.0002508	2.9000000	3781684236.7481985
3.0049170	3.0046396	3.0051944	-0.0002129	-0.0002162	-0.0002100	3.0049170	-0.0002130	3.0000000	3781684238.8231792
3.1050716	3.1047942	3.1050716	-0.0001065	-0.0001435	-0.0001269	3.1049791	-0.0001256	3.1000000	3781684240.8871431
3.2049488	3.2046714	3.2052262	0.0000655	0.0000588	0.0000512	3.2049488	0.0000585	3.2000000	3781684242.9461274
3.3056584	3.3053808	3.3056584	0.0004195	0.0003658	0.0003697	3.3055659	0.0003850	3.3000000	3781684245.0102439
3.4049806	3.4049806	3.4047032	0.0009342	0.0009392	0.0009119	3.4048881	0.0009284	3.4000000	3781684247.0860839
3.5048578	3.5045804	3.5045804	0.0018560	0.0018617	0.0018555	3.5046729	0.0018577	3.5000000	3781684249.1572232
3.6047350	3.6041802	3.6041802	0.0033411	0.0033163	0.0033314	3.6043651	0.0033296	3.6000000	3781684251.2293401
3.7051672	3.7051672	3.7054446	0.0056304	0.0056327	0.0056145	3.7052597	0.0056259	3.7000000	3781684253.2992406
3.8047670	3.8044896	3.8042120	0.0090381	0.0090627	0.0091017	3.8044895	0.0090675	3.8000000	3781684255.3720794
3.9046442	3.9051990	3.9043668	0.0141784	0.0141769	0.0141315	3.9047367	0.0141623	3.9000000	3781684257.4566846
4.0045214	4.0045214	4.0050762	0.0214861	0.0214358	0.0214926	4.0047063	0.0214715	4.0000000	3781684259.5328183
4.1041212	4.1043986	4.1043986	0.0316562	0.0316409	0.0317623	4.1043061	0.0316865	4.1000000	3781684261.6157594
4.2048306	4.2039984	4.2039984	0.0457927	0.0457121	0.0458395	4.2042758	0.0457815	4.2000000	3781684263.6868978
4.3041530	4.3049854	4.3044304	0.0647186	0.0648889	0.0647866	4.3045229	0.0647981	4.3000000	3781684265.7533407
4.4045852	4.4043076	4.4043076	0.0895255	0.0895497	0.0894394	4.4044001	0.0895049	4.4000000	3781684267.8423943
4.5036300	4.5041848	4.5039074	0.1216758	0.1216316	0.1214786	4.5039074	0.1215953	4.5000000	3781684269.9138346
4.6040622	4.6040622	4.6037846	0.1626270	0.1626098	0.1623297	4.6039697	0.1625222	4.6000000	3781684271.9865518
4.7039394	4.7036618	4.7039394	0.2131703	0.2128459	0.2133020	4.7038469	0.2131061	4.7000000	3781684274.0552106
