V(1) [kV]	V(2) [kV]	V(3) [kV]	I(1) [mA]	I(2) [mA]	I(3) [mA]	MeanV [kV]	MeanI[mA]	SetV [kV]
0.0051827	0.0051689	0.0052216	-0.0004216	-0.0004232	-0.0004240	0.0051911	-0.0004229	0.0000000	3781679084.9563231
0.1052881	0.1045671	0.1049720	-0.0003976	-0.0004246	-0.0003983	0.1049424	-0.0004068	0.1000000	3781679086.9995055
0.2054018	0.2058593	0.2056375	-0.0003949	-0.0003905	-0.0004563	0.2056329	-0.0004139	0.2000000	3781679089.0753760
0.3057644	0.3051268	0.3050991	-0.0003854	-0.0004150	-0.0004058	0.3053301	-0.0004021	0.3000000	3781679091.1455650
0.4048907	0.4048630	0.4048907	-0.0004524	-0.0003882	-0.0004165	0.4048815	-0.0004190	0.4000000	3781679093.2355952
0.5049873	0.5053477	0.5058189	-0.0003835	-0.0004202	-0.0004154	0.5053846	-0.0004064	0.5000000	3781679095.3119807
0.6049453	0.6052779	0.6050007	-0.0003808	-0.0004286	-0.0003663	0.6050746	-0.0003919	0.6000000	3781679097.3812327
0.7049033	0.7045152	0.7047647	-0.0004220	-0.0003804	-0.0004133	0.7047277	-0.0004053	0.7000000	3781679099.4441934
0.8048612	0.8046395	0.8042514	-0.0003875	-0.0003866	-0.0003746	0.8045840	-0.0003829	0.8000000	3781679101.5189686
0.9053736	0.9054567	0.9051241	-0.0004025	-0.0003998	-0.0004007	0.9053181	-0.0004010	0.9000000	3781679103.5841074
1.0059414	1.0054147	1.0057473	-0.0004174	-0.0004063	-0.0003681	1.0057011	-0.0003972	1.0000000	3781679105.6668062
1.1049014	1.1051232	1.1054836	-0.0003866	-0.0004003	-0.0003742	1.1051694	-0.0003870	1.1000000	3781679107.7408175
1.2052198	1.2053029	1.2052475	-0.0003846	-0.0003604	-0.0003994	1.2052567	-0.0003815	1.2000000	3781679109.8204865
1.3049837	1.3051500	1.3057321	-0.0003569	-0.0003956	-0.0003954	1.3052886	-0.0003826	1.3000000	3781679111.8766537
1.4045813	1.4046645	1.4047199	-0.0003824	-0.0003815	-0.0003806	1.4046552	-0.0003815	1.4000000	3781679113.9498634
1.5048165	1.5053709	1.5050937	-0.0004204	-0.0003970	-0.0003942	1.5050937	-0.0004039	1.5000000	3781679116.0239639
1.6047190	1.6050516	1.6046636	-0.0003968	-0.0003698	-0.0003772	1.6048114	-0.0003813	1.6000000	3781679118.0832081
1.7048433	1.7047047	1.7048433	-0.0003485	-0.0004148	-0.0003831	1.7047971	-0.0003821	1.7000000	3781679120.1573744
1.8044963	1.8044686	1.8044409	-0.0003605	-0.0003738	-0.0003461	1.8044686	-0.0003601	1.8000000	3781679122.2266030
1.9047315	1.9047592	1.9050364	-0.0003635	-0.0003753	-0.0003449	1.9048424	-0.0003612	1.9000000	3781679124.3070831
2.0044954	2.0045230	2.0049942	-0.0003884	-0.0003453	-0.0004017	2.0046709	-0.0003785	2.0000000	3781679126.3754082
2.1050354	2.1050908	2.1051740	-0.0003958	-0.0003851	-0.0003624	2.1051001	-0.0003811	2.1000000	3781679128.4355040
2.2051598	2.2050766	2.2049102	-0.0004088	-0.0003920	-0.0003487	2.2050489	-0.0003832	2.2000000	3781679130.4981222
2.3057830	2.3053394	2.3058106	-0.0003477	-0.0003730	-0.0003815	2.3056443	-0.0003674	2.3000000	3781679132.5789056
2.4048214	2.4045440	2.4045440	-0.0003342	-0.0003458	-0.0003615	2.4046365	-0.0003472	2.4000000	3781679134.6443353
2.5038662	2.5046986	2.5046986	-0.0003578	-0.0003671	-0.0003728	2.5044211	-0.0003659	2.5000000	3781679136.7268462
2.6051306	2.6051306	2.6051306	-0.0003567	-0.0004094	-0.0003708	2.6051306	-0.0003790	2.6000000	3781679138.7992754
2.7050078	2.7052854	2.7052854	-0.0003440	-0.0003331	-0.0003372	2.7051929	-0.0003381	2.7000000	3781679140.8719873
2.8048850	2.8043302	2.8046076	-0.0003220	-0.0003246	-0.0003407	2.8046076	-0.0003291	2.8000000	3781679142.9358225
2.9053172	2.9044848	2.9050398	-0.0003049	-0.0003297	-0.0002929	2.9049473	-0.0003091	2.9000000	3781679145.0184298
3.0054718	3.0051944	3.0043620	-0.0002734	-0.0002478	-0.0002537	3.0050094	-0.0002583	3.0000000	3781679147.0938401
3.1047942	3.1045168	3.1045168	-0.0001291	-0.0001499	-0.0001366	3.1046093	-0.0001386	3.1000000	3781679149.1588049
3.2046714	3.2041164	3.2055036	0.0000387	0.0000575	0.0000628	3.2047638	0.0000530	3.2000000	3781679151.2200170
3.3053808	3.3053808	3.3053808	0.0003921	0.0003828	0.0003706	3.3053808	0.0003818	3.3000000	3781679153.2884345
3.4049806	3.4047032	3.4038710	0.0009750	0.0009569	0.0009956	3.4045183	0.0009758	3.4000000	3781679155.3484602
3.5040256	3.5043030	3.5037482	0.0019502	0.0019365	0.0019256	3.5040256	0.0019374	3.5000000	3781679157.4088249
3.6041802	3.6041802	3.6044576	0.0034883	0.0034904	0.0034867	3.6042727	0.0034885	3.6000000	3781679159.5067878
3.7037800	3.7043348	3.7043348	0.0058804	0.0058881	0.0058649	3.7041499	0.0058778	3.7000000	3781679161.5773544
3.8042120	3.8036572	3.8042120	0.0094539	0.0094920	0.0095031	3.8040271	0.0094830	3.8000000	3781679163.6492209
3.9038118	3.9043668	3.9035344	0.0148080	0.0147224	0.0147560	3.9039043	0.0147621	3.9000000	3781679165.7072577
4.0045214	4.0042440	4.0045214	0.0223541	0.0223690	0.0223097	4.0044289	0.0223443	4.0000000	3781679167.7787952
4.1035662	4.1035662	4.1038438	0.0329361	0.0329764	0.0329882	4.1036587	0.0329669	4.1000000	3781679169.8602486
4.2037210	4.2037210	4.2039984	0.0474544	0.0474709	0.0474590	4.2038135	0.0474614	4.2000000	3781679171.9318514
4.3041530	4.3044304	4.3047080	0.0670076	0.0669827	0.0671188	4.3044305	0.0670364	4.3000000	3781679174.0028582
4.4043076	4.4045852	4.4040302	0.0926859	0.0923602	0.0925716	4.4043077	0.0925392	4.4000000	3781679176.0590239
4.5036300	4.5039074	4.5030752	0.1242871	0.1242160	0.1240149	4.5035375	0.1241727	4.5000000	3781679178.1207790
4.6037846	4.6037846	4.6035072	0.1653001	0.1655313	0.1651757	4.6036921	0.1653357	4.6000000	3781679180.1788182
4.7039394	4.7036618	4.7036618	0.2158582	0.2157183	0.2157678	4.7037543	0.2157814	4.7000000	3781679182.2205238
