V(1) [kV]	V(2) [kV]	V(3) [kV]	I(1) [mA]	I(2) [mA]	I(3) [mA]	MeanV [kV]	MeanI[mA]	SetV [kV]
0.0053935	0.0044729	0.0052743	-0.0004787	-0.0004778	-0.0004686	0.0050469	-0.0004750	0.0000000	3781691591.7119222
0.1056763	0.1055931	0.1051744	-0.0004276	-0.0003980	-0.0004211	0.1054813	-0.0004156	0.1000000	3781691593.8228631
0.2066358	0.2059564	0.2059065	-0.0004705	-0.0004429	-0.0004728	0.2061662	-0.0004620	0.2000000	3781691595.8752146
0.3055703	0.3051268	0.3055981	-0.0004677	-0.0004347	-0.0004593	0.3054317	-0.0004539	0.3000000	3781691597.9683728
0.4053343	0.4054451	0.4051402	-0.0004345	-0.0004472	-0.0004409	0.4053065	-0.0004409	0.4000000	3781691600.0592833
0.5051259	0.5050150	0.5054308	-0.0004222	-0.0004276	-0.0004136	0.5051906	-0.0004211	0.5000000	3781691602.1252842
0.6056937	0.6055828	0.6053056	-0.0004285	-0.0004605	-0.0004342	0.6055274	-0.0004410	0.6000000	3781691604.1973009
0.7049587	0.7050418	0.7050696	-0.0004276	-0.0003896	-0.0004637	0.7050234	-0.0004270	0.7000000	3781691606.2662063
0.8045563	0.8047781	0.8044731	-0.0004506	-0.0004765	-0.0004336	0.8046025	-0.0004536	0.8000000	3781691608.3738055
0.9056231	0.9050409	0.9055122	-0.0004589	-0.0004326	-0.0004580	0.9053921	-0.0004498	0.9000000	3781691610.4375319
1.0054147	1.0055533	1.0051098	-0.0004599	-0.0004501	-0.0004418	1.0053593	-0.0004506	1.0000000	3781691612.5081830
1.1049846	1.1050123	1.1046797	-0.0004104	-0.0004356	-0.0004167	1.1048922	-0.0004209	1.1000000	3781691614.6965127
1.2045268	1.2051366	1.2044436	-0.0003916	-0.0004479	-0.0004360	1.2047023	-0.0004252	1.2000000	3781691616.7693138
1.3048174	1.3049837	1.3056212	-0.0004056	-0.0003767	-0.0004443	1.3051408	-0.0004089	1.3000000	3781691618.8420558
1.4052189	1.4048308	1.4050803	-0.0003983	-0.0004374	-0.0004417	1.4050433	-0.0004258	1.4000000	3781691620.9013286
1.5049828	1.5049273	1.5051214	-0.0004002	-0.0004153	-0.0004010	1.5050105	-0.0004055	1.5000000	3781691622.9566870
1.6050516	1.6054120	1.6051625	-0.0004003	-0.0004137	-0.0003929	1.6052087	-0.0004023	1.6000000	3781691625.0283751
1.7046770	1.7051205	1.7050650	-0.0004048	-0.0004061	-0.0004207	1.7049542	-0.0004105	1.7000000	3781691627.1071839
1.8045240	1.8043577	1.8046626	-0.0004332	-0.0003825	-0.0004226	1.8045148	-0.0004128	1.8000000	3781691629.1740370
1.9046206	1.9050919	1.9048424	-0.0004080	-0.0003948	-0.0003912	1.9048516	-0.0003980	1.9000000	3781691631.2531505
2.0045230	2.0048834	2.0046616	-0.0004082	-0.0004134	-0.0004331	2.0046893	-0.0004182	2.0000000	3781691633.3160233
2.1044810	2.1051740	2.1045088	-0.0003655	-0.0004037	-0.0004071	2.1047213	-0.0003921	2.1000000	3781691635.3943286
2.2047994	2.2052428	2.2054092	-0.0003991	-0.0003847	-0.0003889	2.2051505	-0.0003909	2.2000000	3781691637.4695830
2.3052286	2.3048404	2.3051732	-0.0003817	-0.0004023	-0.0003777	2.3050807	-0.0003872	2.3000000	3781691639.5455585
2.4042664	2.4045440	2.4042664	-0.0004309	-0.0004029	-0.0003832	2.4043589	-0.0004057	2.4000000	3781691641.6157169
2.5044212	2.5049760	2.5041436	-0.0004049	-0.0004233	-0.0004033	2.5045136	-0.0004105	2.5000000	3781691643.6965642
2.6048532	2.6051306	2.6051306	-0.0003861	-0.0003911	-0.0004460	2.6050381	-0.0004077	2.6000000	3781691645.7661929
2.7047304	2.7047304	2.7050078	-0.0004048	-0.0003759	-0.0003908	2.7048229	-0.0003905	2.7000000	3781691647.8376422
2.8034978	2.8043302	2.8034978	-0.0003641	-0.0004075	-0.0003878	2.8037753	-0.0003865	2.8000000	3781691649.9074159
2.9044848	2.9042074	2.9044848	-0.0003484	-0.0003434	-0.0003454	2.9043923	-0.0003457	2.9000000	3781691651.9731030
3.0049170	3.0043620	3.0040846	-0.0003433	-0.0003066	-0.0003419	3.0044545	-0.0003306	3.0000000	3781691654.0451913
3.1042392	3.1042392	3.1042392	-0.0003103	-0.0003155	-0.0003062	3.1042392	-0.0003106	3.1000000	3781691656.1252055
3.2038390	3.2043940	3.2046714	-0.0002063	-0.0002137	-0.0001978	3.2043015	-0.0002059	3.2000000	3781691658.1763329
3.3048260	3.3045486	3.3042712	-0.0000449	-0.0000586	-0.0000487	3.3045486	-0.0000507	3.3000000	3781691660.2389793
3.4044258	3.4041484	3.4041484	0.0002323	0.0002648	0.0002502	3.4042409	0.0002491	3.4000000	3781691662.3055320
3.5043030	3.5040256	3.5040256	0.0007360	0.0007226	0.0006964	3.5041181	0.0007183	3.5000000	3781691664.3751974
3.6033480	3.6039028	3.6041802	0.0015152	0.0015275	0.0015182	3.6038103	0.0015203	3.6000000	3781691666.4467578
3.7046124	3.7046124	3.7046124	0.0026831	0.0026793	0.0026576	3.7046124	0.0026733	3.7000000	3781691668.5179129
3.8039346	3.8036572	3.8042120	0.0045529	0.0046023	0.0045851	3.8039346	0.0045801	3.8000000	3781691670.5761266
3.9032570	3.9029796	3.9032570	0.0074005	0.0074311	0.0074985	3.9031645	0.0074433	3.9000000	3781691672.6426430
4.0039666	4.0034116	4.0039666	0.0116255	0.0117034	0.0117096	4.0037816	0.0116795	4.0000000	3781691674.7198143
4.1032888	4.1035662	4.1030114	0.0176118	0.0175469	0.0175688	4.1032888	0.0175758	4.1000000	3781691676.7970562
4.2031660	4.2031660	4.2031660	0.0257925	0.0258843	0.0258138	4.2031660	0.0258302	4.2000000	3781691678.8656769
4.3030432	4.3033208	4.3033208	0.0373117	0.0371227	0.0371808	4.3032283	0.0372051	4.3000000	3781691680.9281697
4.4026430	4.4031980	4.4034754	0.0526339	0.0525862	0.0525929	4.4031055	0.0526043	4.4000000	3781691683.0288072
4.5025202	4.5022428	4.5030752	0.0730938	0.0733187	0.0730348	4.5026127	0.0731491	4.5000000	3781691685.1063480
4.6035072	4.6032298	4.6037846	0.0994644	0.0989374	0.0989464	4.6035072	0.0991161	4.6000000	3781691687.1736054
4.7036618	4.7033844	4.7028296	0.1329227	0.1323015	0.1321808	4.7032919	0.1324683	4.7000000	3781691689.2425294
4.8021520	4.8024294	4.8021520	0.1725423	0.1725177	0.1722491	4.8022445	0.1724363	4.8000000	3781691691.3091030
4.9017516	4.9023066	4.9017516	0.2232649	0.2242182	0.2229860	4.9019366	0.2234897	4.9000000	3781691693.3781857
