                     Mode	            TimeStamp [s]	              All #pulses	                  #Pulses	                      #BD	         PS  Vin Marx [V]	        Pulse length [us]	               Delay [ns]	            Cur Level [A]	           Frequency [Hz]	      Temp. Charge switch	       Temp. Pulse switch	                FUG M [V]	                      BDR	       Output voltage [V]	                FUG P [V]	           Stop condition	                 Gap [um]	      MaxPulses per Cycle	              Safe pulses	    Gain Voltage at 0 [V]	   Gain after Timeout [V]	    Conditioning Goal [V]	                  Max BDR	               Cur M [mA]	         Pulses before BD	               PulsesMarx	                        S	             Target V [V]	                 Polarity	                Generator	          Temperature [K]	           CG Step Up [V]	         CG Step Down [V]	          Min Cycles @ GC	    Min Cycles Since Decr	          Max BDR to Incr	          Min BDR to Decr	          Pulse Window GC	              Cycles @ CG	        Cycles Since Decr	                   BDR GC	        Conditioning Mode
                        2	          3769079691.5061	                    24190	                    24190	                        1	                      388	                     1.00	                      600	                       26	                  1000.00	                    17.50	                    31.60	                 388.9900	                 1.000E-6	                5400.5519	                 388.9510	                        0	                       66	                   100000	                    20000	                      -14	                       14	                     5600	                 1.000E-5	                    42.56	                    24190	                    24190	                        0	                     5400	                        1	                        1	                    287.0	                      100	                      200	                      100	                       20	                 1.000E-6	                 2.000E-5	                 10000000	                        0	                        0	                 1.000E-7	                        2
                        0	          3769079704.0085	                    24290	                      100	                        1	                       83	                     1.00	                      600	                        8	                  1000.00	                    16.90	                    32.00	                  84.0279	                 1.000E-6	                1080.1072	                  84.0203	                        0	                       66	                   100000	                    20000	                      -14	                       14	                     5600	                 1.000E-5	                     6.86	                        0	                      100	                        1	                     5401	                        1	                        1	                    287.0	                      100	                      200	                      100	                       20	                 1.000E-6	                 2.000E-5	                 10000000	                        0	                        1	                 1.000E-7	                        2
                        0	          3769079706.4528	                    24390	                      200	                        1	                      183	                     1.00	                      600	                       14	                  1000.00	                    16.90	                    32.00	                 160.2950	                 1.000E-6	                2160.5949	                 160.2707	                        0	                       66	                   100000	                    20000	                      -14	                       14	                     5600	                 1.000E-5	                     8.10	                        0	                      100	                        2	                     5401	                        1	                        1	                    287.0	                      100	                      200	                      100	                       20	                 1.000E-6	                 2.000E-5	                 10000000	                        0	                        1	                 1.000E-7	                        2
                        0	          3769079708.8715	                    24490	                      300	                        1	                      217	                     1.00	                      600	                       18	                  1000.00	                    16.90	                    32.00	                 217.4910	                 1.000E-6	                2970.8994	                 217.4584	                        0	                       66	                   100000	                    20000	                      -14	                       14	                     5600	                 1.000E-5	                    20.71	                        0	                      100	                        3	                     5401	                        1	                        1	                    287.0	                      100	                      200	                      100	                       20	                 1.000E-6	                 2.000E-5	                 10000000	                        0	                        1	                 1.000E-7	                        2
                        0	          3769079711.3159	                    24590	                      400	                        1	                      261	                     1.00	                      600	                       20	                  1000.00	                    16.90	                    31.90	                 260.3810	                 1.000E-6	                3578.5286	                 260.3492	                        0	                       66	                   100000	                    20000	                      -14	                       14	                     5600	                 1.000E-5	                    17.70	                        0	                      100	                        4	                     5401	                        1	                        1	                    287.0	                      100	                      200	                      100	                       20	                 1.000E-6	                 2.000E-5	                 10000000	                        0	                        1	                 1.000E-7	                        2
                        0	          3769079713.7558	                    24690	                      500	                        1	                      291	                     1.00	                      600	                       22	                  1000.00	                    16.90	                    31.90	                 292.5570	                 1.000E-6	                4034.3709	                 292.5173	                        0	                       66	                   100000	                    20000	                      -14	                       14	                     5600	                 1.000E-5	                     8.81	                        0	                      100	                        5	                     5401	                        1	                        1	                    287.0	                      100	                      200	                      100	                       20	                 1.000E-6	                 2.000E-5	                 10000000	                        0	                        1	                 1.000E-7	                        2
                        0	          3769079716.1912	                    24790	                      600	                        1	                      316	                     1.00	                      600	                       23	                  1000.00	                    17.10	                    31.80	                 316.6900	                 1.000E-6	                4376.2668	                 316.6434	                        0	                       66	                   100000	                    20000	                      -14	                       14	                     5600	                 1.000E-5	                    34.45	                        0	                      100	                        6	                     5401	                        1	                        1	                    287.0	                      100	                      200	                      100	                       20	                 1.000E-6	                 2.000E-5	                 10000000	                        0	                        1	                 1.000E-7	                        2
                        0	          3769079718.6292	                    24890	                      700	                        1	                      333	                     1.00	                      600	                       24	                  1000.00	                    17.10	                    31.70	                 334.7730	                 1.000E-6	                4632.4514	                 334.7379	                        0	                       66	                   100000	                    20000	                      -14	                       14	                     5600	                 1.000E-5	                    36.33	                        0	                      100	                        7	                     5401	                        1	                        1	                    287.0	                      100	                      200	                      100	                       20	                 1.000E-6	                 2.000E-5	                 10000000	                        0	                        1	                 1.000E-7	                        2
                        0	          3769079721.0718	                    24990	                      800	                        1	                      348	                     1.00	                      600	                       24	                  1000.00	                    17.10	                    31.70	                 348.3490	                 1.000E-6	                4824.7847	                 348.3089	                        0	                       66	                   100000	                    20000	                      -14	                       14	                     5600	                 1.000E-5	                    38.01	                        0	                      100	                        8	                     5401	                        1	                        1	                    287.0	                      100	                      200	                      100	                       20	                 1.000E-6	                 2.000E-5	                 10000000	                        0	                        1	                 1.000E-7	                        2
                        0	          3769079723.5135	                    25090	                      900	                        1	                      358	                     1.00	                      600	                       25	                  1000.00	                    17.20	                    31.60	                 358.5430	                 1.000E-6	                4969.2046	                 358.4871	                        0	                       66	                   100000	                    20000	                      -14	                       14	                     5600	                 1.000E-5	                    39.01	                        0	                      100	                        9	                     5401	                        1	                        1	                    287.0	                      100	                      200	                      100	                       20	                 1.000E-6	                 2.000E-5	                 10000000	                        0	                        1	                 1.000E-7	                        2
