                     Mode	            TimeStamp [s]	              All #pulses	                  #Pulses	                      #BD	         PS  Vin Marx [V]	        Pulse length [us]	               Delay [ns]	            Cur Level [A]	           Frequency [Hz]	      Temp. Charge switch	       Temp. Pulse switch	                FUG M [V]	                      BDR	       Output voltage [V]	                FUG P [V]	           Stop condition	                 Gap [um]	      MaxPulses per Cycle	              Safe pulses	    Gain Voltage at 0 [V]	   Gain after Timeout [V]	    Conditioning Goal [V]	                  Max BDR	               Cur M [mA]	         Pulses before BD	               PulsesMarx	                        S	             Target V [V]	                 Polarity	                Generator	          Temperature [K]	           CG Step Up [V]	         CG Step Down [V]	          Min Cycles @ GC	    Min Cycles Since Decr	          Max BDR to Incr	          Min BDR to Decr	          Pulse Window GC	              Cycles @ CG	        Cycles Since Decr	                   BDR GC	        Conditioning Mode
                        0	          3769428731.1669	                   100000	                   100000	                        0	                      423	                     1.00	                      600	                       27	                  1000.00	                    15.70	                    33.60	                 424.2640	                 9.936E-8	                5900.2841	                 424.2439	                        0	                       66	                   100000	                    20000	                      -14	                       14	                     6100	                 1.000E-5	                    46.54	                        0	                   100000	                        0	                     5900	                        1	                        1	                    287.0	                      100	                      200	                      100	                       20	                 1.000E-6	                 2.000E-5	                 10000000	                        0	                        0	                 1.723E-7	                        2
                        0	          3769428832.9796	                   200000	                   100000	                        0	                      423	                     1.00	                      600	                       27	                  1000.00	                    20.00	                    35.00	                 425.2490	                 8.990E-8	                5914.2387	                 425.2321	                        0	                       66	                   100000	                    20000	                      -14	                       14	                     6100	                 1.000E-5	                    46.69	                        0	                   100000	                        0	                     5914	                        1	                        1	                    287.0	                      100	                      200	                      100	                       20	                 1.000E-6	                 2.000E-5	                 10000000	                        0	                        1	                 1.705E-7	                        2
                        0	          3769428934.8225	                   300000	                   100000	                        0	                      426	                     1.00	                      600	                       27	                  1000.00	                    23.60	                    35.60	                 426.2520	                 8.135E-8	                5928.4484	                 426.2204	                        0	                       66	                   100000	                    20000	                      -14	                       14	                     6100	                 1.000E-5	                    46.82	                        0	                   100000	                        0	                     5928	                        1	                        1	                    287.0	                      100	                      200	                      100	                       20	                 1.000E-6	                 2.000E-5	                 10000000	                        0	                        2	                 1.689E-7	                        2
                        0	          3769429036.6611	                   400000	                   100000	                        0	                      427	                     1.00	                      600	                       27	                  1000.00	                    27.30	                    36.00	                 427.2380	                 7.361E-8	                5942.4172	                 427.2086	                        0	                       66	                   100000	                    20000	                      -14	                       14	                     6100	                 1.000E-5	                    46.92	                        0	                   100000	                        0	                     5942	                        1	                        1	                    287.0	                      100	                      200	                      100	                       20	                 1.000E-6	                 2.000E-5	                 10000000	                        0	                        3	                 1.672E-7	                        2
                        0	          3769429138.4657	                   500000	                   100000	                        0	                      427	                     1.00	                      600	                       27	                  1000.00	                    29.10	                    36.30	                 428.2380	                 6.660E-8	                5956.5844	                 428.1968	                        0	                       66	                   100000	                    20000	                      -14	                       14	                     6100	                 1.000E-5	                    47.05	                        0	                   100000	                        0	                     5956	                        1	                        1	                    287.0	                      100	                      200	                      100	                       20	                 1.000E-6	                 2.000E-5	                 10000000	                        0	                        4	                 1.655E-7	                        2
                        0	          3769429240.2854	                   600000	                   100000	                        0	                      427	                     1.00	                      600	                       27	                  1000.00	                    31.60	                    36.50	                 429.2910	                 6.026E-8	                5971.5024	                 429.2555	                        0	                       66	                   100000	                    20000	                      -14	                       14	                     6100	                 1.000E-5	                    47.17	                        0	                   100000	                        0	                     5971	                        1	                        1	                    287.0	                      100	                      200	                      100	                       20	                 1.000E-6	                 2.000E-5	                 10000000	                        0	                        5	                 1.639E-7	                        2
                        0	          3769429342.0982	                   700000	                   100000	                        0	                      429	                     1.00	                      600	                       27	                  1000.00	                    32.80	                    36.70	                 430.3540	                 5.453E-8	                5986.5620	                 430.3143	                        0	                       66	                   100000	                    20000	                      -14	                       14	                     6100	                 1.000E-5	                    47.30	                        0	                   100000	                        0	                     5986	                        1	                        1	                    287.0	                      100	                      200	                      100	                       20	                 1.000E-6	                 2.000E-5	                 10000000	                        0	                        6	                 1.622E-7	                        2
                        0	          3769429443.9532	                   800000	                   100000	                        0	                      430	                     1.00	                      600	                       27	                  1000.00	                    34.00	                    37.00	                 431.4090	                 4.934E-8	                6001.5084	                 431.3731	                        0	                       66	                   100000	                    20000	                      -14	                       14	                     6100	                 1.000E-5	                    47.40	                        0	                   100000	                        0	                     6001	                        1	                        1	                    287.0	                      100	                      200	                      100	                       20	                 1.000E-6	                 2.000E-5	                 10000000	                        0	                        7	                 1.606E-7	                        2
                        0	          3769429545.7472	                   900000	                   100000	                        0	                      430	                     1.00	                      600	                       27	                  1000.00	                    34.20	                    37.10	                 432.4700	                 4.465E-8	                6016.5397	                 432.4319	                        0	                       66	                   100000	                    20000	                      -14	                       14	                     6100	                 1.000E-5	                    47.53	                        0	                   100000	                        0	                     6016	                        1	                        1	                    287.0	                      100	                      200	                      100	                       20	                 1.000E-6	                 2.000E-5	                 10000000	                        0	                        8	                 1.590E-7	                        2
                        0	          3769429648.6074	                  1000000	                   100000	                        0	                      432	                     1.00	                      600	                       27	                   990.00	                    34.20	                    37.20	                 433.5440	                 4.040E-8	                6031.7553	                 433.4907	                        0	                       66	                   100000	                    20000	                      -14	                       14	                     6100	                 1.000E-5	                    47.21	                        0	                   100000	                        0	                     6031	                        1	                        1	                    287.0	                      100	                      200	                      100	                       20	                 1.000E-6	                 2.000E-5	                 10000000	                        0	                        9	                 1.574E-7	                        2
